Comments,Year,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. function of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,3,(а) как же NP-Nom?,(а) как же NP-Nom?,А как же мама?,,,,,,,,,,,Clause,Clause,,,Reaction to the previous discourse,Surprise,Mirative,,,,,,,Interrogative / Exclamatory,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,Surprise,,,,,,,,,,,,,,,
,,4,(а) при чём здесь/тут Cop NP-Nom?,(а) при чём здесь/тут Cop NP-Nom?,При чём здесь наши отношения?,,,,,,,,,,,,Clause,,,Reaction to the previous discourse,,,,,,,,,Interrogative / Exclamatory,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,
,,5,"(а) NP-Nom/кто (же) его знает, Cl","(а) NP-Nom/кто (же) его знает, Cl","Кто его знает, почему она так поступила.",,,,,,,,,,,Matrix,Matrix,,,Epistemic modality,Low degree of certainty,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,(а/так) что насчёт XP?,(а/так) что насчёт XP?,Что насчёт пятницы? Какие у тебя планы?,,,,,,,,,,,Clause,Clause,Prep,,Discourse structure,Topic,,,,,,,,Interrogative,NA,,,,,,,,,,,,,,,,,,,,,,,Topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,NP-Nom Cop похожий-Short на NP-Acc,NP-Nom Cop похожий-Short на NP-Acc,Вася похож на папу.,,,,,,,,,,,Clause,Praedic,Praedic; Simplex prep,,Comparison,Similarity,,,,,,,,,NA,,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,"(вот) то́-то и оно́, что Cl/XP","(вот) то́-то и оно́, что Cl/XP","То-то и оно, что от меня ничего не зависит.",,,,,,,,,,,Clause,Matrix,Matrix,,Reaction to the previous discourse,Focus,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus,,,,,,,,,,,,,,,
,,9,(всё) никак не VP-Ipfv,(всё) никак не VP-Imp,Задача всё никак не решалась.,,,,,,,,,,,,Adv,,,Degree of intensity,Minimizer: Absence,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Minimizer: Absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,"(единственное) что (не) VP, так это (не) VP","(единственное) что (не) VP, так это (не) VP","Чего дочь не сделала, так это не убралась.",,,,,,,,,,,,Biclausal,,,Quantification,Exclusive,Discourse structure,Emphasis,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,"(как) по мне, (так) Cl","(как) по мне, (так) Cl","Как по мне, это ещё не беда.",,,,,,,,,,,,Parenth,,,Source of opinion,Expressing opinion,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expressing opinion,,,,,,,,
,,12,(не) время Cop VP-Inf,(не) время Cop VP-Inf,Самое время вершить большие дела.,,,,,,,,,,,,Clause,,,Causation,Indirect,Time,Proper time,,,,,,Assertive,NA,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proper time,,,,
,,13,NP-Nom пойти/Cop весь в NP-Acc,NP-Nom пойти/Cop весь в NP-Acc,Он пошел весь в отца.,,,,,,,,,,,Verb pattern,Adj / Light verb,Verb; Praedic; Simplex prep; Pron,,Comparison,Similarity,,,,,,,,,NA,,,,,,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,(Cl) разве что/только Cl,(Cl) разве что/только Cl,"Не буду пить, разве что пригублю.",,,,,,,,,,,,Biclausal,,,Concession,,Quantification,Exclusive,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,"Cl, а NP-Nom опять VP-Imp!","Cl, а NP-Nom опять VP-Imper!","Он ушел домой, а я опять переделывай всё после него.",,,,,,,,,,,,Clause,,,Attitude,Dissatisfaction,Comparison,Contrast,Root modality,Necessity: External,,,,Exclamatory,Colloquial,,,,,,,,,,,Dissatisfaction,,,,,,Contrast,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,
,,16,(NP-Dat) грех Cop VP-Inf,(NP-Dat) грех Cop VP-Inf,Грех обижаться на взрослых.,,,,,,,,,,,,Praedic,,,Assessment,Negative,,,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,(NP-Dat) давно пора Cop VP-Inf,(NP-Dat) давно пора Cop VP-Inf,Детям давно пора поесть.,,,,,,,,,,,,Praedic,,,Time,Proper time,Causation,Direct,Root modality,Necessity: External,,,,Assertive,NA,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,Proper time,,,,
,,18,(NP-Dat) не мешало бы/не мешает VP-Pfv.Inf,(NP-Dat) не мешало бы/не мешает VP-Perf.Inf,Нам не мешало бы подкрепиться.,,,,,,,,,,,,Clause,,,Causation,Indirect,Volition,,Root modality,Necessity: External,,,,Assertive,Colloquial,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,Unspecified
,,19,(NP-Dat) Cop не положено VP-Ipfv.Inf,(NP-Dat) Cop не положено VP-Imp.Inf,Детям не положено гулять поздно.,,,,,,,,,,,,Clause,,,Prohibition,Prohibitive,,,,,,,,Exclamatory,Formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibitive,,,,,,,,,,,,,,,,,,
,,20,(NP-Dat) Cop не Prep кто/что VP-Inf ,(NP-Dat) Cop не Prep кто/что VP-Inf ,Мне не с кем погулять.,,,,,,,,,,,Praedic,Praedic,Verb pattern; Adv; Double negation,,Non-existence,Absence,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,,,,,,,,
,,21,(NP-Dat) нельзя Cop не VP-Inf,(NP-Dat) нельзя не VP-Inf,Нельзя было не согласиться с ним тогда.,,,,,,,,,,,,Praedic,,,Attitude,No choice,Root modality,Necessity: External,,,,,,,NA,,,,,,,,,,,No choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,
,,22,(NP-Dat) Cop девать некуда NP-Acc ,(NP-Dat)  Cop девать некуда NP-Acc,Нам уже еду девать некуда.,,,,,,,,,,,,Clause,,,Measure,,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,(NP-Dat) VP-Inf Cop незачем,(NP-Dat) VP-Inf Cop незачем,Жить ему было незачем.,,,,,,,,,,,Praedic,Praedic,Verb pattern; Adv; Double negation,,Non-existence,Absence,Purpose,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,24,(NP-Dat) VP-Inf Cop некуда,(NP-Dat) VP-Inf Cop некуда,Дальше идти некуда.,,,,,,,,,,,Praedic,Praedic,Verb pattern; Adv; Double negation,,Non-existence,Absence,Spatial expression,Path:Goal,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,Path: Goal,,,,,,,
,,25,(NP-Dat) VP-Inf Cop нечего,(NP-Dat) VP-Inf Cop нечего,Есть было нечего.,,,,,,,,,,,Praedic,Praedic,Verb pattern; Adv; Double negation,,Non-existence,Absence,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,,,,,,,,
,,26,(NP-Nom) только что VP-Pfv.Pst,(NP-Nom) только что VP-Perf.Past,Вася только что принес деньги.,,,,,,,,,,,,Adv,,,Timeline,Recent past,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recent past,,
,,27,(NP-Nom) это Cop в первую очередь NP-Nom,(NP-Nom) это Cop в первую очередь NP-Nom,Это в первую очередь его заслуга.,,,,,,,,,,,,Clause,,,Assessment,Positive,,,,,,,,Assertive,NA,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,NP-Nom по-Verb-по-~Verb и VP,NP-Nom по-V-по-V и VP,Поспит-поспит и проснётся.,,,,,,,,,,,Verb pattern,Verb pattern,Prefixed verb; Conj; Reduplication,,Phase of action,Continuative,,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,,,,,
,,29,абы PronInt,абы SCONJ,"Он делал работу хорошо, а не абы как.",,,,,,,,,,,,Adv,,,Assessment,Negative,,,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,ай да NP-Nom!,ай да NP-Nom!,– Ай да герой! – крикнул директор в восторге.,,,,,,,,,,,,Clause,,,Assessment,Positive,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,ах PronPers-Nom NP-Nom!,ах PronPers-Nom NP-Nom!,Ах ты подлец!,,,,,,,,,,,,Clause,,,Assessment,Positive; Negative,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,"Positive, Negative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,без малого NumCrd NP-Gen,без малого NumCrd NP-Gen,Без малого двадцать лет,,,,,,,,,,,,Adv,,,Measure,,Degree of accuracy,Approximate,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,Approximate,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33,без пяти минут NP-Nom,без пяти минут NP-Nom,Без пяти минут врач,,,,,,,,,,,Adj,Adj,Nominal pattern?,,Salient property,Status,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
,,34,(со)благоволить-Imp VP-Inf!,(со)благоволить-Imper VP-Inf!,Благоволите ответить!,,,,,,,,,,,,Clause,,,Causation,Direct,Request,,,,,,,Exclamatory,Obsolete,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,
,,35,бог весть PronInt,бог весть PronInt,Они принесли в пакете бог весть что.,,,,,,,,,,,,Adj,,,Assessment,Negative,,,,,,,,,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36,более чем Adv/Pred,более чем Adv/Praedic,Более чем понятно,,,,,,,,,,,,Adv,,,Degree of intensity,Booster,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,больно Adv/Adj,больно Adv/Adj,Больно сложно,,,,,,,,,,,Adv,Adv,Adv; Conj,,Degree of intensity,Booster,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,NP-Nom бросить VP-Inf,NP-Nom бросить VP-Inf,Я бросил курить.,,,,,,,,,,,,Verb pattern,,,Phase of action,Terminative,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminative,,,,,,,,,,,,,,,,,,,,,
,,39,бросить-Imp VP-Ipfv.Inf!,бросить-Imper VP-Imp.Inf!,Брось спорить!,,,,,,,,,,,,Clause / Verb pattern,,,Prohibition,Continuative prohibitive,Causation,Direct,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,Continuative prohibitive,,,,,,,,,,,,,,,,,,
,,40,будет PronPers-Dat NP-Nom,будет Pron-Dat NP-Nom,"Будет тебе счастье, ты только жди.",,,,,,,,,,,,Clause,,,Timeline,Future,Volition,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Future,,Unspecified
,,41,будет PronPers-Dat (VP-Ipfv.Inf)!,будет PronPers-Dat (VP-Imp.Inf)!,Будет тебе врать!,,,,,,,,,,,,Clause,,,Prohibition,Continuative prohibitive,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative prohibitive,,,,,,,,,,,,,,,,,,
,,42,"Будучи NP-Ins, Cl","Будучи NP-Ins, Cl","Будучи американцем, он мечтал разбогатеть.",,,,,,,,,,,Adv,Adv,Verb,,Cause,,Condition,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43,"NP-Nom Cop за то, чтобы Cl","NP-Nom Cop за то, чтобы Cl","Я за то, чтобы ты у нас жил.",,,,,,,,,,,Matrix,Matrix,,,Attitude,Support,,,,,,,,,NA,,,,,,,,,,,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44,NP-Nom Cop полный-Short NP-Gen,NP-Nom Cop полный-Short NP-Gen,Он был полон энтузиазма.,,,,,,,,,,,Praedic,Praedic,Adj,,Temporary characteristics,Emotional state,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotional state,,,
,,45,"знать-Fut, как VP-Ipfv.Inf!","знать-Fut, как VP-Ipfv.Inf!","Будет знать, как убегать от родителей!",,,,,,,,,,,,Matrix,,,Attitude,Disapproval,Threat,,Assessment,Negative,,,,,Colloquial,,,,,,,,,,Negative,Disapproval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,
,,46,"быть-Pst бы NP-Nom, а Cl","быть-Past бы NP-Nom, а Cl","Было бы желание, а деньги найдутся.",,,,,,,,,,,,Biclausal,,,Condition,,,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47,"в глубине души VP, (что Cl)","в глубине души VP, (что Cl)",В глубине души именно на это я и рассчитывал.,,,,,,,,,,,Adv,Adv,Nominal pattern,,Manner,,Attitude,Emotional attitude,,,,,,,NA,,,,,,,,,,,Emotional attitude,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48,в жизни не VP (ничего подобного),в жизни не VP (ничего подобного),Я в жизни никуда не опаздывал.,,,,,,,,,,,,Adv,,,Degree of intensity,Minimizer: Absence,Non-existence,Unaffected generally,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Minimizer: Absence,,,,,,,,,,Unaffected generally,,,,,,,,,,,,,,,,,,,,,,,,
,,49,в зависимости от NP-Gen,в зависимости от NP-Gen,Уровень зарплаты определяется в зависимости от опыта работы.,,,,,,,,,,,Adv,Prep,Nominal pattern/Complex Prep,,Cause,,Condition,,,,,,,,NA,,,,,,,,,,,,,,,Unspecified,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,"в то́м-то и NP-Nom, (что) Cl","в то́м-то и NP-Nom, (что) Cl","В том-то и дело, что не знаем.",,,,,,,,,,,,Matrix,,,Reaction to the previous discourse,Emphasis,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,
,,51,в условиях NP-Gen Cl,в условиях NP-Gen Cl,В условиях подъёма экономики России выросла роль временных миграций.,,,,,,,,,,,,Prep,,,Condition,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,NP в NP-Loc,NP в NP-Loc,Боль в животе,,,,,,,,,,,,Nominal pattern,,,Spatial expression,Location,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location,,,,,,,
,,53,"ввиду того́, что Cl, Cl","ввиду того́, что Cl, Cl","Ввиду того, что осложнилась обстановка на Ближнем Востоке, было введено чрезвычайное положение.",,,,,,,,,,,Biclausal,Biclausal / Conj,Conj,,Cause,,,,,,,,,Assertive,Formal,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54,NP-Nom велеть NP-Dat VP-Inf,NP-Nom велеть NP-Dat VP-Inf,Мать велела сыну учиться.,,,,,,,,,,,,Verb pattern,,,Causation,Direct,,,,,,,,,NA,,,,,,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55,NP весом/массой (в) NumCrd-Acc NP-Gen,NP весом/массой (в) Num-Acc NP-Gen,Баржа весом в шесть тонн,,,,,,,,,,,,,,,Measure,Weight,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56,весь в NP-Loc,весь в NP-Loc,Он пришел весь в синяках.,,,,,,,,,,,,Adj / Nominal pattern,,,Degree of intensity,Maximizer,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Maximizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,NP-Nom взять и VP,NP-Nom взять и VP,Он взял и увез меня в деревню.,,,,,,,,,,,,Verb pattern,,,Mirative,,Result,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,
,,58,вне зависимости от NP-Gen,вне зависимости от NP-Gen,Вне зависимости от результатов мы продолжим работу.,,,,,,,,,,,,Adv,,,Condition,,,,,,,,,,Formal,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,"во всяком случае, Cl","во всяком случае, Cl","Во всяком случае, эксперты не исключают такого исхода событий.",,,,,,,,,,,,Parenth,,,Concession,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60,вовсе не XP,вовсе не XP,Эта одежда вовсе не старая.,,,,,,,,,,,,Adv,,,Degree of intensity,Minimizer: Absence,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,Minimizer: Absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61,NP-Nom возьми и VP-Imp,NP-Nom возьми и VP-Imper,А он возьми и купи новую машину!,,,,,,,,,,,Clause,Verb pattern,,,Mirative,,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
,,62,вон как VP,вон как VP,Вон как смотрит!,,,,,,,,,,,,Clause,,,Assessment,Positive; Negative,Discourse structure,Emphasis,,,,,,Exclamatory,Colloquial,,,,,,,,,,"Positive, Negative",,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63,вот бы Cl,вот бы Cl,Вот бы мама испекла вкусный пирог!,,,,,,,,,,,,Clause,,,Causation,Indirect,Volition,,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,64,вот и Pred!,вот и Praedic!,Вот и чудесно!,,,,,,,,,,,,Clause,,,Assessment,Positive,Discourse structure,Summary,,,,,,Exclamatory,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,вот и VP,вот и VP,Вот и поговори с ним!,,,,,,,,,,,,Clause,,,Consequence ,,,,,,,,,Assertive,Colloquial,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66,вот так NP-Nom Cop: (Cl)!,вот так NP-Nom Cop: (Cl)!,Вот так встреча!,,,,,,,,,,,,Clause,,,Assessment,Positive,Mirative,,,,,,,Exclamatory,Colloquial,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
,,67,вот уже NumCrd-Nom NP-Gen Cop как Cl,вот уже Num-Nom NP-Gen Cop как Cl,Вот уже три месяца как она уехала.,,,,,,,,,,,Adv,Biclausal,,,Time,Time period,Phase of action,Continuative,Measure,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,Continuative,,,,,,,,,,,,,,,,,Time period,,,,
,,68,вот это Cop NP-Nom!,вот это Cop NP-Nom!,Вот это подарок!,,,,,,,,,,,,Clause,,,Assessment,Positive; Negative,Mirative,,,,,,,Exclamatory,Colloquial,,,,,,,,,,"Positive, Negative",,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
,,69,вот NP-Nom!,вот NP-Nom!,Вот дурак!,,,,,,,,,,,,Clause,,,Assessment,Negative,,,,,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70,вот PronPers-Dat и NP-Nom!,вот PronPers-Dat и NP-Nom!,Вот тебе и встреча!,,,,,,,,,,,,Clause,,,Assessment,Negative,Mirative,,,,,,,Exclamatory,Colloquial,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
,,71,"вот NP-Nom VP-Fut, и VP-Fut","вот NP-Nom VP-Fut, и VP-Fut","Вот придет домой, и поговорим.",,,,,,,,,,,,Biclausal,,,Timeline,Near future,Condition,,,,,,,Exclamatory,NA,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Near future,,
,,72,вот-вот VP-Fut NP-Nom,вот-вот VP-Fut NP-Nom,Вот-вот прилетит самолет.,,,,,,,,,,,,Adv,,,Timeline,Near future,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Near future,,
,,73,время от времени Cl,время от времени Cl,Время от времени я перестаю что-либо успевать.,,,,,,,,,,,,Adv,,,Pluractionality,Raritive,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raritive,,,,,,,,,,,,,,,,,,,,
,,74,время NP-Gen (не) пришло,время NP-Gen (не) пришло,Время серьезного разговора пришло.,,,,,,,,,,,,Clause,,,Causation,Indirect,Time,Proper time,,,,,,Assertive,NA,,,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proper time,,,,
,,75,время NP-Gen прошло,время NP-Gen прошло,Время сомнений прошло.,,,,,,,,,,,,Clause,,,Phase of action,Terminative,,,,,,,,Assertive,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminative,,,,,,,,,,,,,,,,,,,,,
,,76,вроде (как) XP/Cl,вроде (как) XP/Cl,Он вроде как идет.,,,,,,,,,,,Parenth,Parenth,,,Epistemic modality,Low degree of certainty,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,77,вроде бы XP/Cl,вроде бы XP/Cl,Вроде бы он обещал прийти.,,,,,,,,,,,Parenth,Parenth,,,Epistemic modality,Low degree of certainty,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,78,(на)вряд ли XP/Cl,(на)вряд ли XP/Cl,Вряд ли он придёт.,,,,,,,,,,,Parenth,Parenth,,,Epistemic modality,Low degree of certainty,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79,NP-Nom Cop всё без NP-Gen и без ~NP-Gen,NP-Nom Cop всё без NP-Gen и без NP-Gen,А мы всё без молока и без молока.,,,,,,,,,,,Praedic / Adv,Adj / Adv,Reduplication; Simplex prep; Conj; Adv,,Degree of intensity,Booster,Caritive,,,,,,,,Colloquial,,,,,,,,,,,,,Unspecified,,,,,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80,всё равно VP,всё равно VP,Всё равно убегу.,,,,,,,,,,,,Adv,,,Condition,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81,всё тот же NP,всё тот же NP,Всё те же лица.,,,,,,,,,,,NP,Adj,Adj; Pron; Adv,,Comparison,Equality,,,,,,,,,NA,,,,,,,,,,,,,,,,,Equality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,82,NP-Nom Cop всё Adj-Cmp и ~Adj-Cmp/ VP Adv-Cmp и ~Adv-Cmp,NP-Nom Cop всё Adj-Cmp и Adj-Cmp/ VP Adv-Cmp и Adv-Cmp,Спортсмен бежал всё быстрее и быстрее.,,,,,,,,,,,Adj / Adv,Adj / Adv,Reduplication; Adv; Conj,,Comparison,Inequality,Degree of intensity,Booster,,,,,,,NA,,,,,,,,,,,,,,,,,Inequality,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,83,всё Adv-Cmp/Adj-Cmp,всё Adv-Cmp/Adj-Cmp,Шум становился всё сильнее.,,,,,,,,,,,Adj / Adv,Adj / Adv,Adv,,Comparison,Inequality,Degree of intensity,Booster,,,,,,,NA,,,,,,,,,,,,,,,,,Inequality,,,,,Booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
