Comments,Year,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. function of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,605,NumCrd (NP-Gen) с копейками,NumCrd (NP-Gen) с копейками,Прошло 100 дней с копейками.,,,,,,,,,,,,Nominal pattern,,,Degree of accuracy,Approximate,Measure,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,Approximate,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,606,NumCrd-Ins NumCrd-Nom ― NumCrd-Nom,NumCrd-Ins NumCrd-Nom ― NumCrd-Nom,Шестью пять – тридцать.,,,,,,,,,,,Clause,Clause,"PP, Num",,Calculation,Multiplication,,,,,,,,Assertive,NA,,,,,,,,,,,,Multiplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,607,NumCrd-Nom (умножить/помножить) на NumCrd-Acc ― (равно/будет/получится/выйдет) NumCrd-Nom,NumCrd-Nom (умножить/помножить) на NumCrd-Acc ― (равно/будет/получится/выйдет) NumCrd-Nom,Семь на восемь – пятьдесят шесть.,,,,,,,,,,,Clause,Clause,"PP, Num",,Calculation,Multiplication,,,,,,,,Assertive,NA,,,,,,,,,,,,Multiplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,608,PronPers/NP-Nom в-NumColl-ём VP,PronPers/NP-Nom в-NumColl-ём VP,Мы вдвоем играли во дворе.,,,,,,,,,,,,Adv,,,Measure,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,609,PronPers-Dat NP-Dat Cop Pred,PronPers-Dat NP-Dat Cop Praedic,Мне ушам холодно.,,,,,,,,,,,Praedic,Praedic,Adv,,Temporary characteristics,Physical state,,,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical state,,,
,,610,Prep NP-Loc PronInt-Gen только нет!,Prep NP-Loc PronInt-Gen только нет!,На ярмарке чего только нет!,,,,,,,,,,,,Praedic,,,Measure,,Degree of intensity,Maximizer,,,,,,,Colloquial,,,,,,,,,,,,,,,,,,,,,,Maximizer,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,611,ещё (мне/у меня) VP-Pfv.Fut,ещё (мне/у меня) VP-Perf.Fut,Ты меня ещё вспомнишь!,,,,,,,,,,,,Clause,,,Threat,,,,,,,,,Exclamatory,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,
,,612,PronPers-Nom же Cop NP-Nom,PronPers-Nom же Cop NP-Nom,Он же мальчик.,,,,,,,,,,,,Adv,,,Discourse structure,Emphasis,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,614,PronPers-Nom PronPers-Dat дать VP-Inf!,PronPers-Nom PronPers-Dat дать VP-Inf!,Я тебе дам так себя вести!,,,,,,,,,,,,Clause,,,Threat,,Prohibition,Prohibitive,,,,,,Exclamatory,Colloquial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibitive,,,,,,,,,,,,,,,,,Unspecified,
,,615,"вот ещё, XP!","вот ещё, XP!","Да ты влюблена в него! – Вот ещё, влюблена!",,,,,,,,,,,,Clause,,,Attitude,Skepticism,Reaction to the previous discourse,Disagreement,,,,,,Exclamatory,Colloquial,,,,,,,,,,,Skepticism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagreement,,,,,,,,,,,,,,,
